gene_name	transcript_id	se_id	SElet_id	reads_novo_ser	nb_pmt_novo
H2-M5	ENSMUST00000113667	7792	749	11.2207498642353	1
H2-M5	ENSMUST00000113667	7794	758	26.3117405792109	1
H2-M5	ENSMUST00000113667	7794	763	5.26234811584218	1
Znrd1	ENSMUST00000113669	7792	749	32.7271871040197	1
Znrd1	ENSMUST00000113669	7792	754	33.3282047336671	1
Znrd1	ENSMUST00000113669	7794	758	32.0429399400242	1
Znrd1	ENSMUST00000113669	7794	763	15.5884572681199	1
Dysf	ENSMUST00000113821	3184	1265	18.1865334794732	1
Rbpj	ENSMUST00000113865	2510	1187	78.9352217376327	0
Gabpa	ENSMUST00000114184	7597	686	3.50823207722812	1
Gabpa	ENSMUST00000114184	7597	687	1.75411603861406	1
Gabpa	ENSMUST00000114184	7597	688	8.77058019307029	1
Gabpa	ENSMUST00000114184	7597	693	35.0823207722812	1
Gabpa	ENSMUST00000114184	7597	694	0	1
Atp5j	ENSMUST00000114191	7597	686	3.50823207722812	1
Atp5j	ENSMUST00000114191	7597	687	1.75411603861406	1
Atp5j	ENSMUST00000114191	7597	688	8.77058019307029	1
Atp5j	ENSMUST00000114191	7597	693	13.1558702896054	1
Atp5j	ENSMUST00000114191	7597	694	0	1
Atp5j	ENSMUST00000114193	7597	686	3.50823207722812	1
Atp5j	ENSMUST00000114193	7597	687	1.75411603861406	1
Atp5j	ENSMUST00000114193	7597	688	8.77058019307029	1
Atp5j	ENSMUST00000114193	7597	693	52.6234811584218	1
Atp5j	ENSMUST00000114193	7597	694	0	1
Jam2	ENSMUST00000114195	7597	686	36.4674370587648	1
Jam2	ENSMUST00000114195	7597	687	156.155435610608	1
Jam2	ENSMUST00000114195	7597	688	85.0906864704511	1
Jam2	ENSMUST00000114195	7597	693	199.168310090177	1
Jam2	ENSMUST00000114195	7597	694	28.0518746605883	1
Mkrn1	ENSMUST00000114822	3044	1250	88.8309364251962	1
Mkrn1	ENSMUST00000114823	3044	1250	88.8309364251962	1
Csnk1a1	ENSMUST00000115246	8209	835	37.7134948302023	1
Rfc4	ENSMUST00000115337	7434	670	23.6805665212898	1
Rfc4	ENSMUST00000115337	7434	671	15.7870443475265	1
Rfc4	ENSMUST00000115337	7434	672	64.0252354094132	1
Rfc4	ENSMUST00000115338	7434	670	23.6805665212898	1
Rfc4	ENSMUST00000115338	7434	671	15.7870443475265	1
Rfc4	ENSMUST00000115338	7434	672	64.0252354094132	1
Hsd17b14	ENSMUST00000115479	3568	1356	71.9998116288433	1
Suv39h1	ENSMUST00000115636	8554	1567	1.75411603861406	1
Suv39h1	ENSMUST00000115636	8554	1571	16.6641023668336	1
Suv39h1	ENSMUST00000115637	8554	1567	1.75411603861406	1
Suv39h1	ENSMUST00000115637	8554	1571	16.6641023668336	1
Suv39h1	ENSMUST00000115638	8554	1567	1.75411603861406	1
Suv39h1	ENSMUST00000115638	8554	1571	16.6641023668336	1
Hdac6	ENSMUST00000115642	8554	1567	7.01646415445624	1
Hdac6	ENSMUST00000115642	8554	1571	37.7134948302023	1
Pqbp1	ENSMUST00000115654	8554	1567	16.4544826719043	1
Pqbp1	ENSMUST00000115654	8554	1571	63.219854476264	1
Pqbp1	ENSMUST00000115655	8554	1567	16.4544826719043	1
Pqbp1	ENSMUST00000115655	8554	1571	63.219854476264	1
Slc35a2	ENSMUST00000115660	8554	1567	3.46410161513775	1
Slc35a2	ENSMUST00000115660	8554	1571	10.3923048454133	1
Slc35a2	ENSMUST00000115663	8554	1567	3.46410161513775	1
Slc35a2	ENSMUST00000115663	8554	1571	10.3923048454133	1
Otud5	ENSMUST00000115665	8554	1567	6.92820323027551	1
Otud5	ENSMUST00000115665	8554	1571	37.2390923627309	1
Otud5	ENSMUST00000115666	8554	1567	6.92820323027551	1
Otud5	ENSMUST00000115666	8554	1571	37.2390923627309	1
Otud5	ENSMUST00000115667	8554	1567	6.92820323027551	1
Otud5	ENSMUST00000115667	8554	1571	37.2390923627309	1
Otud5	ENSMUST00000115668	8554	1567	6.92820323027551	1
Otud5	ENSMUST00000115668	8554	1571	37.2390923627309	1
Usp7	ENSMUST00000115836	7359	659	205.713747510981	1
Usp7	ENSMUST00000115836	7359	664	42.0987849267374	1
Usp7	ENSMUST00000115836	7359	667	39.4676108688163	1
Usp7	ENSMUST00000115836	7359	668	28.0658566178249	1
2310004I24Rik	ENSMUST00000116363	5555	292	1.75411603861406	1
2310004I24Rik	ENSMUST00000116363	5555	296	11.4017542509914	1
2310004I24Rik	ENSMUST00000116363	5555	298	62.2711193707991	1
ORF19	ENSMUST00000116556	7876	782	0.866025403784439	1
ORF19	ENSMUST00000116556	7876	783	5.19615242270663	1
ORF19	ENSMUST00000116556	7876	788	2.59807621135332	1
ORF19	ENSMUST00000116556	7876	789	0.866025403784439	1
ORF19	ENSMUST00000116556	7876	790	8.66025403784439	1
Mrpl39	ENSMUST00000116584	7597	686	23.6805665212898	2
Mrpl39	ENSMUST00000116584	7597	687	85.0746278727819	2
Mrpl39	ENSMUST00000116584	7597	688	56.1317132356499	2
Mrpl39	ENSMUST00000116584	7597	693	52.6234811584218	2
Mrpl39	ENSMUST00000116584	7597	694	28.0658566178249	2
Fam108c	ENSMUST00000117085	3685	1401	9.52627944162882	1
Fam108c	ENSMUST00000117085	3685	1405	7.79422863405995	1
Fam108c	ENSMUST00000117085	3685	1409	71.014083110324	1
Sgk2	ENSMUST00000117123	1257	963	16.6641023668336	1
Sgk2	ENSMUST00000117123	1257	967	10.5246962316844	1
Sgk2	ENSMUST00000117123	1257	969	18.4182184054476	1
Sgk2	ENSMUST00000117123	1257	970	6.13940613514921	1
Fanci	ENSMUST00000117227	3652	1381	4.33012701892219	1
Ddr1	ENSMUST00000117301	7784	745	50.2294734194974	2
Bcat2	ENSMUST00000117366	3568	1356	227.220184750765	1
Ecm1	ENSMUST00000117507	1626	1022	9.64763821237733	1
Ecm1	ENSMUST00000117507	1626	1027	21.9264504826757	1
Ecm1	ENSMUST00000117507	1626	1028	7.01646415445624	1
Ecm1	ENSMUST00000117507	1626	1030	28.942914637132	1
Hint1	ENSMUST00000117710	5499	276	24.5576245405968	1
Hint1	ENSMUST00000117710	5499	283	31.5740886950531	1
